articles_count,coverage,population,quality_articles_count,region,relative_quality
6851,0.0005335669781931465,1284000000.0,125,AFRICA,1.824551160414538
11531,0.0002542107583774251,4536000000.0,310,ASIA,2.688405168675744
15864,0.0021265415549597856,746000000.0,322,EUROPE,2.0297528996469993
5169,0.0007964560862865947,649000000.0,69,LATIN AMERICA AND THE CARIBBEAN,1.3348810214741729
1921,0.0005263013698630138,365000000.0,99,NORTHERN AMERICA,5.153565851119208
3128,0.007629268292682927,41000000.0,66,OCEANIA,2.1099744245524295
